0,30,34,6674153,59758735,,
1,27,34,50112,94531066,,
2,29,25,23229,98045584,,
3,32,29,67368,215650200,,
4,34,28,3156712,232852698,,
5,24,20,9071,298960389,,
6,28,24,44029,569188995,,
7,25,33,7098,658132994,,
8,24,31,75227,679379701,,
9,22,31,29646,911669273,,
10,33,32,49436,995914080,,
11,28,30,73121,1029922404,,
12,20,31,45849,1130632398,,
13,20,35,5400338,1364114475,,
14,34,21,70080,1368079488,,
15,23,21,68954,1466576600,,
16,27,26,97935,1694273138,,
17,22,28,12021,1746815436,,
18,34,28,23692,1953370155,,
19,20,28,5997,2357015730,,
20,22,25,7236427,2549793899,,
21,31,26,8677,2555482900,,
22,25,22,1184978,2594601464,,
23,24,29,4318199,2820080647,,
24,24,21,1810759,2929622157,,
25,34,30,9005,3054705677,,
26,24,28,46691,3612831755,,
27,31,25,2422382,3771971861,,
28,29,32,7303,4051050860,,
29,23,26,7026,4084770073,,
30,30,32,4025,4222348830,,
31,21,27,28937,4453117745,,
32,31,24,8939,4491044517,,
33,21,30,7231,4562049046,,
34,25,31,20038,4644288794,,
35,27,22,1416978,5141220662,,
36,20,24,171979,5194113977,,
37,29,22,6481,5239069564,,
38,33,35,76686,5265114886,,
39,30,24,6396781,5279778893,,
40,28,21,28197,5339396877,,
41,22,31,7248517,5432631375,,
42,33,30,5793,5462988842,,
43,27,32,729027,5502348416,,
44,31,24,1722487,5948531392,,
45,33,21,8528,6033933296,,
46,28,32,70431,6371634869,,
47,29,35,55428,6564863326,,
48,32,20,51733,6577760896,,
49,31,32,354533,6649532546,,
50,28,26,68063,6701993814,,
51,26,32,3855217,6745629737,,
52,25,29,660494,6761266267,,
53,23,34,70416,6828231452,,
54,20,22,1135839,6867673312,,
55,28,27,3775309,7077133494,,
56,31,28,18370,7079870309,,
57,22,20,179676,7082858486,,
58,35,26,4127,7214550185,,
59,30,26,1685299,7260718284,,
60,29,20,19436,7316915295,,
61,34,29,7901,7321894796,,
62,28,29,9740452,7342212666,,
63,35,23,5881,7369627977,,
64,20,28,5691913,7380505536,,
65,23,24,9012,7581211630,,
66,31,29,6557959,7833697282,,
67,31,30,1660308,8087240593,,
68,27,35,129023,8147844611,,
69,21,24,9825,8260280804,,
70,30,23,37614,8331844087,,
71,22,24,1869435,8341137599,,
72,20,31,15631,8409344218,,
73,28,31,527579,8467900343,,
74,34,29,73321,8471228905,,
75,31,26,32388,8602953468,,
76,32,29,4676,8829217643,,
77,34,21,59567,9052087485,,
78,22,26,4445307,9221949687,,
79,20,24,24677,9239430012,,
80,26,28,5885613,9380113423,,
81,29,20,26058,9395652330,,
82,29,30,65804,9398477395,,
83,25,32,9424304,9490135742,,
84,25,21,3193304,9539401110,,
85,23,29,144505,9593860589,,
86,30,20,76641,9816968316,,
87,23,28,24137283,9880756356,,
